dog_id,hs_condition,days_from_present,months_from_present
18270,408,1391,45.68
89716,1601,2852,93.68
89716,1617,4282,140.68
1540,306,3855,126.68
1540,1113,2516,82.68
1540,1614,3612,118.68
80155,504,1391,45.68
80155,1105,1421,46.68
80155,1801,1115,36.68
80155,1816,2425,79.68
92893,304,811,26.68
92893,1622,811,26.68
41347,102,1055,34.68
41347,104,1025,33.68
41347,305,6259,205.68
41347,1904,1391,45.68
17431,410,5408,177.68
17431,504,1360,44.68
17431,612,1360,44.68
17431,915,1086,35.68
94806,426,1695,55.68
94806,1008,780,25.68
94806,1605,1572,51.68
94806,1898,749,24.68
5137,1105,1695,55.68
5137,1816,1055,34.68
40629,1605,1238,40.68
40629,1801,1086,35.68
87598,307,1360,44.68
14769,1630,6412,210.68
15440,198,2455,80.68
15440,306,1177,38.68
15440,307,1177,38.68
15440,423,1542,50.68
15440,428,2363,77.68
15440,1810,2455,80.68
43971,101,1238,40.68
43971,118,1238,40.68
43971,1805,2182,71.68
43971,1898,2182,71.68
100321,423,1055,34.68
100321,1801,1268,41.68
62046,406,1452,47.68
62046,423,1572,51.68
62046,1816,1695,55.68
93243,305,1876,61.68
93243,306,1572,51.68
93243,1298,1664,54.68
93243,1813,1452,47.68
93243,1815,1330,43.68
93243,1816,1725,56.68
93243,1817,1115,36.68
15649,698,872,28.68
15649,1605,902,29.68
82711,304,841,27.68
82711,305,841,27.68
82711,307,841,27.68
82711,1117,902,29.68
7781,102,1603,52.68
7781,313,5835,191.68
7781,423,4678,153.68
7781,1637,2486,81.68
40593,426,1998,65.68
52897,1617,1756,57.68
68759,304,1055,34.68
68759,498,1055,34.68
68759,1112,2455,80.68
68759,1118,2455,80.68
20089,304,1268,41.68
20089,407,2060,67.68
20089,414,1725,56.68
20089,426,2060,67.68
20089,712,4647,152.68
20089,809,1511,49.68
20089,1701,4494,147.68
20089,1798,1695,55.68
20089,1805,1603,52.68
20089,1813,1876,61.68
94259,1616,749,24.68
4828,206,1086,35.68
4828,412,1511,49.68
4828,708,1025,33.68
4828,712,1055,34.68
4828,1113,2241,73.68
6377,304,1511,49.68
6377,305,3278,107.68
6377,504,1360,44.68
6377,708,1055,34.68
6377,809,1572,51.68
6377,1637,1268,41.68
38283,406,4798,157.68
38283,426,1360,44.68
38283,1105,1360,44.68
94354,304,721,23.68
94354,404,1695,55.68
94354,412,1695,55.68
94354,423,1695,55.68
94354,426,1695,55.68
94354,1622,1055,34.68
94354,1634,1055,34.68
94354,1637,1055,34.68
94354,1640,1055,34.68
58548,708,1177,38.68
58548,916,1177,38.68
53629,1804,3429,112.68
84665,1701,902,29.68
84665,1708,964,31.68
57461,305,1633,53.68
58418,202,1603,52.68
15094,1634,1817,59.68
16021,304,994,32.68
58016,398,2699,88.68
58016,1798,1998,65.68
58016,1801,3094,101.68
18080,305,1360,44.68
18080,306,1360,44.68
18080,426,2182,71.68
66419,405,1391,45.68
94080,304,994,32.68
94080,1198,1786,58.68
94080,1617,1299,42.68
94080,1622,1299,42.68
94080,1798,749,24.68
67965,504,4739,155.68
67965,304,1086,35.68
67965,504,4374,143.68
67965,910,3217,105.68
67965,1634,2090,68.68
